layer,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
0,exact_int16,float,45,0.9999769578057353,0.972972972972973,1.0,1200,111240,0
0,exact_int16,float,50,0.9999805989108091,0.975609756097561,1.0,1200,111240,0
0,exact_int16,quantized_exact,5,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,10,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,15,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,20,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,25,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,30,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,35,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,40,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,45,1.0,1.0,1.0,1200,111240,0
0,exact_int16,quantized_exact,50,1.0,1.0,1.0,1200,111240,0
0,mitchell,float,5,0.9761083698252977,0.6,0.9979166666666667,1200,111240,0
0,mitchell,float,10,0.9791938089294712,0.7,0.9960784313725489,1200,111240,0
0,mitchell,float,15,0.9818193246552905,0.6153846153846154,0.9938144329896907,1200,111240,0
0,mitchell,float,20,0.9835313935351732,0.7894736842105263,0.9931335830212232,1200,111240,0
0,mitchell,float,25,0.9851640840815433,0.84,0.9932851239669419,1200,111240,0
0,mitchell,float,30,0.9867387805468788,0.88,0.9931034482758625,1200,111240,0
0,mitchell,float,35,0.9880408259832779,0.8787878787878788,0.9949019607843138,1200,111240,1
0,mitchell,float,40,0.9894539396737214,0.8780487804878049,0.995896464646465,1200,111240,0
0,mitchell,float,45,0.9906438171947052,0.9024390243902439,0.9963744232036915,1200,111240,1
0,mitchell,float,50,0.9915318722296353,0.9130434782608695,0.9967540574282145,1200,111240,0
0,mitchell,quantized_exact,5,0.9760966828238198,0.6,0.9979166666666667,1200,111240,0
0,mitchell,quantized_exact,10,0.9791929794877144,0.7,0.9960784313725489,1200,111240,0
0,mitchell,quantized_exact,15,0.9818229390191504,0.6153846153846154,0.9938144329896907,1200,111240,0
0,mitchell,quantized_exact,20,0.983536058380824,0.7894736842105263,0.9931335830212232,1200,111240,0
0,mitchell,quantized_exact,25,0.9851598567285529,0.84,0.9932851239669419,1200,111240,0
0,mitchell,quantized_exact,30,0.9867356439370748,0.88,0.9931034482758625,1200,111240,0
0,mitchell,quantized_exact,35,0.9880393371426073,0.8787878787878788,0.9949019607843138,1200,111240,1
0,mitchell,quantized_exact,40,0.9894520003340852,0.8780487804878049,0.995896464646465,1200,111240,0
0,mitchell,quantized_exact,45,0.9906448463683039,0.9024390243902439,0.9963744232036915,1200,111240,1
0,mitchell,quantized_exact,50,0.991534710682849,0.9130434782608695,0.9967540574282145,1200,111240,0
1,dlzs_comp_k,float,5,0.9284848218344522,0.4,0.9699999999999998,1200,111240,0
1,dlzs_comp_k,float,10,0.9405140559952103,0.4444444444444444,0.9804347826086959,1200,111240,0
1,dlzs_comp_k,float,15,0.946372384242604,0.6666666666666666,0.977757182576459,1200,111240,0
1,dlzs_comp_k,float,20,0.9503298974441479,0.7058823529411765,0.9746913580246908,1200,111240,0
1,dlzs_comp_k,float,25,0.9539193917824992,0.7272727272727273,0.9730443974630016,1200,111240,0
1,dlzs_comp_k,float,30,0.9580479497236614,0.7777777777777778,0.9752747252747256,1200,111240,0
1,dlzs_comp_k,float,35,0.9618192076229077,0.7941176470588235,0.9785714285714291,1200,111240,0
