design,baseline,percent,mean_overlap,min_text_overlap,max_text_overlap,texts
mitchell,float,40,0.9882689190126529,0.988038038038038,0.9887810755961441,4
mitchell,float,45,0.9893447383489787,0.9891494857248282,0.9896567717996292,4
mitchell,float,50,0.9901102945609583,0.9899460271081892,0.9905333415607388,4
mitchell,quantized_exact,5,0.9800662679836483,0.9793921356421357,0.9810904654654655,4
mitchell,quantized_exact,10,0.982634547860599,0.9816300675675677,0.9835942092886536,4
mitchell,quantized_exact,15,0.9830600067650581,0.9821879509379511,0.983541921041921,4
mitchell,quantized_exact,20,0.9842409817105754,0.9835085085085087,0.9846619203236853,4
mitchell,quantized_exact,25,0.9853413595440431,0.9849458301839255,0.9856468310415679,4
mitchell,quantized_exact,30,0.9863386917064703,0.9858603154836033,0.9866198616198617,4
mitchell,quantized_exact,35,0.9873264947858271,0.9870129870129871,0.9875826719576722,4
mitchell,quantized_exact,40,0.9882661177589702,0.988038038038038,0.9887747336377473,4
mitchell,quantized_exact,45,0.9893478829602236,0.9891667819750012,0.9896619253762111,4
mitchell,quantized_exact,50,0.990110337341191,0.9899460271081892,0.9905281994323089,4
