sample,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
1,drum3,quantized_exact,35,0.9498148148148151,0.8,0.9647058823529419,72,6120,0
1,drum3,quantized_exact,40,0.9534457900807369,0.7941176470588235,0.9737024221453275,72,6120,0
1,drum3,quantized_exact,45,0.9577761018937478,0.8205128205128205,0.9755656108597283,72,6120,2
1,drum3,quantized_exact,50,0.9610427116583072,0.8372093023255814,0.9783857729138171,72,6120,0
1,drum4,float,5,0.9552287581699344,0.6,0.9952941176470588,72,6120,0
1,drum4,float,10,0.961002178649237,0.6666666666666666,0.9934640522875815,72,6120,0
1,drum4,float,15,0.9638260432378072,0.6923076923076923,0.9846153846153841,72,6120,0
1,drum4,float,20,0.9658977316416753,0.7647058823529411,0.9840830449826984,72,6120,1
1,drum4,float,25,0.9672534165181218,0.8181818181818182,0.9780748663101599,72,6120,0
1,drum4,float,30,0.9706510809451984,0.8461538461538461,0.9800904977375567,72,6120,0
1,drum4,float,35,0.9728376906318087,0.8333333333333334,0.981960784313726,72,6120,0
1,drum4,float,40,0.9747020376778153,0.8529411764705882,0.9858131487889266,72,6120,0
1,drum4,float,45,0.977358806770571,0.8717948717948718,0.9858220211161385,72,6120,0
1,drum4,float,50,0.9789101687186508,0.9069767441860465,0.9879616963064299,72,6120,0
1,drum4,quantized_exact,5,0.9551960784313722,0.6,0.9952941176470588,72,6120,0
1,drum4,quantized_exact,10,0.9609840232389245,0.6666666666666666,0.9934640522875815,72,6120,0
1,drum4,quantized_exact,15,0.9638260432378072,0.6923076923076923,0.9846153846153841,72,6120,0
1,drum4,quantized_exact,20,0.9658881199538629,0.7647058823529411,0.9840830449826984,72,6120,1
1,drum4,quantized_exact,25,0.9672534165181218,0.8181818181818182,0.9780748663101599,72,6120,0
1,drum4,quantized_exact,30,0.9706510809451984,0.8461538461538461,0.9805429864253397,72,6120,0
1,drum4,quantized_exact,35,0.9728376906318087,0.8333333333333334,0.981960784313726,72,6120,0
1,drum4,quantized_exact,40,0.9747116493656276,0.8529411764705882,0.9858131487889266,72,6120,0
1,drum4,quantized_exact,45,0.977362996480643,0.8717948717948718,0.9858220211161385,72,6120,0
1,drum4,quantized_exact,50,0.978913968688251,0.9069767441860465,0.9879616963064299,72,6120,0
1,drum6,float,5,0.9879411764705881,0.8,1.0,72,6120,0
1,drum6,float,10,0.9896695715323164,0.7777777777777778,1.0,72,6120,0
1,drum6,float,15,0.9902212166918049,0.8461538461538461,0.9972850678733031,72,6120,0
1,drum6,float,20,0.9904555940023064,0.8823529411764706,0.9958477508650518,72,6120,0
1,drum6,float,25,0.9909313725490194,0.9090909090909091,0.997326203208556,72,6120,0
1,drum6,float,30,0.9917672197083962,0.8846153846153846,0.9963800904977376,72,6120,0
1,drum6,float,35,0.9924128540305013,0.9333333333333333,0.9972549019607845,72,6120,0
1,drum6,float,40,0.9928392925797768,0.9117647058823529,0.9961937716262974,72,6120,0
1,drum6,float,45,0.9936274509803921,0.9487179487179487,0.9975867269984915,72,6120,0
1,drum6,float,50,0.9939542483660131,0.9302325581395349,0.9975376196990426,72,6120,0
1,drum6,quantized_exact,5,0.9879084967320261,0.8,1.0,72,6120,0
1,drum6,quantized_exact,10,0.989633260711692,0.7777777777777778,1.0,72,6120,0
1,drum6,quantized_exact,15,0.9902212166918049,0.8461538461538461,0.9972850678733031,72,6120,0
1,drum6,quantized_exact,20,0.9904555940023066,0.8823529411764706,0.9958477508650518,72,6120,0
1,drum6,quantized_exact,25,0.9909462269756387,0.9090909090909091,0.997326203208556,72,6120,0
1,drum6,quantized_exact,30,0.9917797888386125,0.8846153846153846,0.9968325791855203,72,6120,0
