design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows,min_text_overlap,max_text_overlap,texts
drum4,float,50,0.9794062483244566,0.8409090909090909,0.980360886492961,100,667440,14,0.8409090909090909,0.980360886492961,100
drum4,quantized_exact,5,0.9536129338362238,0.4,0.9569753086419751,100,667440,0,0.4,0.9569753086419751,100
drum4,quantized_exact,10,0.9608646364211683,0.5555555555555556,0.962888291517324,100,667440,3,0.5555555555555556,0.962888291517324,100
drum4,quantized_exact,15,0.962961292086127,0.5384615384615384,0.9649846681096685,100,667440,2,0.5384615384615384,0.9649846681096685,100
drum4,quantized_exact,20,0.9652139921591382,0.6842105263157895,0.9670338441890161,100,667440,12,0.6842105263157895,0.9670338441890161,100
drum4,quantized_exact,25,0.9676436759096538,0.7391304347826086,0.9688093687238786,100,667440,17,0.7391304347826086,0.9688093687238786,100
drum4,quantized_exact,30,0.9702862201727097,0.7777777777777778,0.9718274246779524,100,667440,10,0.7777777777777778,0.9718274246779524,100
drum4,quantized_exact,35,0.9728379036838696,0.7419354838709677,0.9738130988130985,100,667440,8,0.7419354838709677,0.9738130988130985,100
drum4,quantized_exact,40,0.9752117452193062,0.7894736842105263,0.9763055555555553,100,667440,11,0.7894736842105263,0.9763055555555553,100
drum4,quantized_exact,45,0.9774897320924745,0.825,0.9786513447971785,100,667440,16,0.825,0.9786513447971785,100
drum4,quantized_exact,50,0.9794064751002619,0.8409090909090909,0.9803558949785356,100,667440,14,0.8409090909090909,0.9803558949785356,100
drum6,float,5,0.9876610833976563,0.6,0.9891598915989159,100,667440,0,0.6,0.9891598915989159,100
drum6,float,10,0.9893589142258622,0.6666666666666666,0.9904633097516992,100,667440,1,0.6666666666666666,0.9904633097516992,100
drum6,float,15,0.9897483708754423,0.7857142857142857,0.9907783189033191,100,667440,0,0.7857142857142857,0.9907783189033191,100
drum6,float,20,0.990288891744573,0.8235294117647058,0.9909866898148151,100,667440,1,0.8235294117647058,0.9909866898148151,100
drum6,float,25,0.990857035232708,0.8571428571428571,0.9913611111111105,100,667440,2,0.8571428571428571,0.9913611111111105,100
drum6,float,30,0.99160936622879,0.88,0.9920710940825881,100,667440,0,0.88,0.9920710940825881,100
drum6,float,35,0.9922785957898752,0.8666666666666667,0.9928315412186378,100,667440,1,0.8666666666666667,0.9928315412186378,100
